student,exams
01c8f287244954db3e756073bf72761b9d6c31a9236846b8ea987210da078ea7,"['MLG02', '1-6678', 'MLG11']"
01c92ea2ec6261434f47e7fbfdd157f42170ea3a9c625c33ae3900d34d02f4c2,"['1-7425', '1-7486', '1-1067', '1-2028']"
01caae217d9b12c979bc6382bba0bc0b5a8ac8f05f0d290307d48d3c2cd2af13,"['1-7547', '1-6568', 'MLG45', 'MLG15']"
01ceab0b6ad84f0331bdf7da68cecc87517a68e795ef707c5f54c7b64a5f0b16,"['1-1530', '1-4766', '1-6957']"
01d249d0b6d1784ac7ef3f3cc9c7ca9e98e958dd38a98a6185cda7f4612ffcc4,"['1-1763', '1-18045', 'MLG62']"
01d9a9c0df5983324564a7f3954351a862bd3189a494f59002e19efaf53e79f2,"['1-8165', '1-7883']"
01db5ce9ba5550deb5c27798a887e322c42d0312572f4ab71ab724cad50360f9,"['1-18045', 'MLG13']"
01dc4ece875304a0e1134f0f3a0ee8997222496e775f327cb7cce09f9557947c,['1-9121']
01dca75629c358d055a0a49bc99005394f2c2b328e196285b630cb2e245af6db,"['MLG24', 'MLG06', 'MLG12']"
01df8278cfc26a7dfaa35d58a0be575df1ddda004552d2b19ebda65740cbcdfe,"['1-5899', '1-18469']"
01dffa462f61e418ee8804fb6d592e66b3bb4e621ffda9062d8aeb45f8c49aaa,"['1-2275', '1-3509']"
01e07dd0699608168a9e51f73e5603de527ff96f134790cc277392efd982f9cf,"['1-1530', '1-4654', '1-9071', 'MLG28']"
01e344b88382ce8d3d258ddf8ed1463740b50416b24088ae99abe1046a3236d9,"['1-0529', 'MLG70', 'MLG63', 'MLG14', '1-20040']"
01f195498e25d8b1f9beea99ea15f697ede906be62a53b4bbbbe8cdcfee65bb3,"['1-7901', '1-9197', '1-3717']"
01f1a18cec5e78e782f7ae3d0ea5431994db055b5bbefcb5fea8d6fcdfd05d57,"['1-2006', 'MLG03', '1-19851', '1-3152']"
01f1a3ffea4915cd9d391feb8281434ac05c6596c7709a29127d5cebe09fdea3,"['1-3026', '1-18507', '1-8044', '1-10808']"
01f33d8365cbd0c0b35109b5a1dc920637c3bff8c67990ceebc5616a691efb74,"['1-1530', '1-5899', '1-9291', '1-9351']"
01f4f83292eb14e6cc2802d9421949b0c98d461aec706b007da62efe64eced34,"['1-8949', '1-9542', '1-6554', '1-7302', 'MLG36']"
01f9f868d45e48a1674d13278f33fed7df5db6af3f8146f7d9013423d180da9b,"['1-8718', '1-1712']"
01fae1b7f3f154ab2e36326c87f16d5bf90a43f9ebc636b47fdf18a9ce97b1bc,"['1-5185', 'MLG64', '1-8611']"
01fb5b312092cb8d22d072f17166dab98062b008d0a1f39a79f7659a2a4f66b2,['1-8480']
01fbbad06654796e5523aeea1203068641a049348b6556b4bceb867d91b90099,"['1-9260', 'MLG12', '1-6568']"
020192263a8206c7ea27d111fb0fa8a7d5b9864f60994f3d4c99b88de108b904,"['MLG09', 'MLG03', '1-10960', '1-3152', '1-2275']"
02045b824cabd4c169be7e52a94336ff4ac594df781098c9652ae45bfb5404df,['MLG68']
0208970f5cfcccfbbd57e4fda575a298244caab0363182382a3ba925e219467d,"['1-0708', '1-6727', 'MLG15']"
020a4fabc68abca7f27ae143a63efcb7a5d7161b79cff8bb7e89ec4b9a74deaf,['1-18507']
020dc821effc4ad2856b93e2a4447c057621a982bd636b4a86c992c49b35e0b8,"['1-2272', 'P1-0004', 'MLG61', '1-1887']"
020f13e2aed82b17e42be04282f9db95e1a404382b5a882aaf6198d116a8dfa6,"['1-9267', '1-1035', 'MLG65']"
0210ea91472f42355590e28f0111277f8b0c513268277c34e06838af7f200708,"['1-1633', '1-9071', '1-8055']"
0212cf215f6f6fb945d85c34f9cf321b57b0a02ff2a5508e4bc2528945a12957,"['MLG26', '1-11026', '1-8754']"
0213fdff5165cd1909ff80f69c229a3618e5ec5b1efb387704347c3610382b07,['1-8537']
021446fd2f066e2a48c555f15106d1d41f2f3496eca9c1a2c9be1a55ff5c276e,"['1-4766', '1-19755']"
0215223ba6acd95a9171a06496a196ae7c8c9093db7f92ce6757e290c3163a85,"['1-0997', '1-6199', '1-7449']"
021cc628cae76861d2ddc0ef97c153d4a3dbd4103809b6fddf08f6feea3ffc1c,['1-6957']
021d9c8e922b03c0d15fbb248fdb764fb1d64ad280297535cf3c6854255e9ab7,"['1-6568', '1-3037']"
02206e4591a2350af9b23451a9654bb0aad6eab5eb870a4f74f4af5eafd3ba23,"['1-9454', 'MLG83', 'MLG03']"
0220aac3f9490ce2bae1c633f2b7da71cbcd1f1d0d04f07283771b69c314acad,"['1-6637', '1-20077']"
02247ca58df94abfd378604d832773f983cb89b740cc83ca05f2cd97d627331e,"['1-7462', '1-6727']"
022ac83b9b68fa028cc180ca05d7eecd11dd773be03a494f17b3c5db727524fc,['1-7107']
022c18f3c1e985aa6753009cec22edbfcedb0aff8950b1dc21d6960e87bfd8de,"['1-3523', 'MLG12']"
022eb1e87ccece7c6acf514fae363e47b3a5a0616cc5fcb0dcaeb6c057070a6f,['1-3739']
0235f496b11fe4a29129cb2faf6a75f4bcec9ff4e2c5f23f811ab7abbb352974,['1-1099']
0236e9d5099fa947f5b8229947892c297db988f781083cd3e734a45982981c80,"['1-1633', '1-5635', '1-6727', '1-6957']"
023b8369f94307cea4119654aacfc1c8567a471f2af649c1025b85de18af8ad1,"['1-8165', '1-3186']"
