,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
60,1-1608,18,14,1-1608,307,72,0,59,107.98558038473128,0.3517445615137827
61,1-4649,13,7,1-4649,244,46,0,65,85.64513093233109,0.35100463496857
62,1-20578,4,10,1-20578,19,3,0,6,6.6595505475997925,0.350502660399989
63,MLG75,19,3,MLG75,185,30,0,56,64.1558051109314,0.3467881357347643
64,1-9416,12,4,1-9416,13,2,0,4,4.439700365066528,0.3415154126974252
65,72-12171,18,14,72-12171,19,4,0,4,6.439700365066528,0.3389315981613962
66,1-10785,14,8,1-10785,279,17,0,127,94.46048659086227,0.3385680522969974
67,1-9752,13,7,1-9752,22,5,0,4,7.439700365066528,0.3381681984121149
68,1-7004,21,16,1-7004,381,108,0,34,128.7374531030655,0.3378935776983346
69,1-4417,4,10,1-4417,151,6,0,73,50.52453166246414,0.3345995474335373
70,1-7682,1,18,1-7682,141,41,0,10,47.09925091266632,0.334037240515364
71,1-9838,17,21,1-9838,3,1,0,0,1.0,0.3333333333333333
72,1-0003,18,14,1-0003,17,2,0,6,5.6595505475997925,0.3329147380941054
73,1-3534,21,16,1-3534,279,61,0,52,92.71610474586488,0.3323157876195873
74,MLG09,9,17,MLG09,125,3,0,63,41.42528074979782,0.3314022459983826
75,1-5036,5,9,1-5036,14,4,0,1,4.609925091266632,0.3292803636619023
76,1-8285,18,14,1-8285,72,9,0,24,23.63820219039917,0.328308363755544
77,1-9887,4,10,1-9887,36,2,0,16,11.758801460266112,0.3266333738962809
78,1-1942,19,3,1-1942,34,5,0,10,11.09925091266632,0.3264485562548918
79,1-9997,8,2,1-9997,16,4,0,2,5.219850182533264,0.326240636408329
80,1-18371,15,13,1-18371,120,30,0,15,39.14887636899948,0.326240636408329
81,1-5531,5,9,1-5531,8,2,0,1,2.609925091266632,0.326240636408329
82,1-6181,4,10,1-6181,659,99,0,190,214.8857673406601,0.3260785543864341
83,1-9379,20,11,1-9379,58,14,0,8,18.879400730133057,0.3255069091402251
84,1-0027,15,13,1-0027,29,7,0,4,9.439700365066528,0.3255069091402251
85,1-9808,4,10,1-9808,74,7,0,28,24.0779025554657,0.3253770615603473
86,1-8074,15,13,1-8074,145,33,0,23,47.02827709913254,0.3243329455112589
87,1-19229,16,6,1-19229,38,8,0,7,12.269475638866425,0.3228809378649059
88,1-7614,12,1,1-7614,72,22,0,2,23.219850182533264,0.3224979192018509
89,MLG32,19,3,MLG32,52,7,0,16,16.758801460266113,0.322284643466656
90,1-8379,5,9,1-8379,5,1,0,1,1.609925091266632,0.3219850182533264
91,1-3217,20,11,1-3217,5,1,0,1,1.609925091266632,0.3219850182533264
92,1-4136,4,10,1-4136,5,1,0,1,1.609925091266632,0.3219850182533264
93,1-6692,1,18,1-6692,71,7,0,26,22.85805237293244,0.3219443996187667
94,1-5002,8,2,1-5002,45,12,0,4,14.439700365066528,0.3208822303348117
95,1-9892,6,15,1-9892,22,4,0,5,7.04962545633316,0.3204375207424164
96,1-7744,14,8,1-7744,37,10,0,3,11.829775273799896,0.3197236560486458
97,1-11329,9,6,1-11329,14,2,0,4,4.439700365066528,0.3171214546476091
98,1-9286,18,14,1-9286,81,14,0,19,25.58857673406601,0.3159083547415556
99,1-0292,15,4,1-0292,99,5,0,43,31.22677892446518,0.3154220093380321
100,1-3564,15,13,1-3564,41,5,0,13,12.929026186466215,0.3153421021089321
101,1-0055,18,21,1-0055,18,2,0,6,5.6595505475997925,0.3144194748666551
102,MLG52,9,17,MLG52,125,36,0,5,39.04962545633316,0.3123970036506653
103,1-3584,15,13,1-3584,26,5,0,5,8.04962545633316,0.3096009790897369
104,1-18935,16,6,1-18935,30,5,0,7,9.269475638866425,0.3089825212955475
105,MLG10,1,3,MLG10,60,10,0,14,18.53895127773285,0.3089825212955475
106,1-6098,8,2,1-6098,1327,339,0,114,408.53146040439606,0.3078609347433279
107,1-6228,10,1,1-6228,48,8,0,11,14.709176003932953,0.3064411667486031
108,MLG44,1,18,MLG44,59,4,0,23,18.02827709913253,0.305564018629365
109,1-6296,4,10,1-6296,254,33,0,73,77.52453166246414,0.3052146915845045
110,1-9455,6,15,1-9455,2,0,0,1,0.6099250912666321,0.304962545633316
111,1-7608,3,23,1-7608,4,0,0,2,1.2198501825332642,0.304962545633316
112,1-19568,19,3,1-19568,2,0,0,1,0.6099250912666321,0.304962545633316
113,1-4847,2,12,1-4847,2,0,0,1,0.6099250912666321,0.304962545633316
114,MLG50,12,4,MLG50,319,55,0,69,97.0848312973976,0.3043411639416853
